"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 20 12:02:11 UTC 2025","Sun Apr 20 12:02:11 UTC 2025","93","tests","test_api","","","","test_second_post[second_data1-201-]",""
"passed","Sun Apr 20 12:02:11 UTC 2025","Sun Apr 20 12:02:11 UTC 2025","102","tests","test_api","","","","test_post_auth[data0-200-True]",""
"passed","Sun Apr 20 12:02:11 UTC 2025","Sun Apr 20 12:02:11 UTC 2025","108","tests","test_api","","","","test_get",""
"passed","Sun Apr 20 12:02:11 UTC 2025","Sun Apr 20 12:02:11 UTC 2025","79","tests","test_api","","","","test_post_auth[data1-200-False]",""
"passed","Sun Apr 20 12:02:11 UTC 2025","Sun Apr 20 12:02:11 UTC 2025","99","tests","test_api","","","","test_second_post[second_data0-201-Passed]",""
"passed","Sun Apr 20 12:02:12 UTC 2025","Sun Apr 20 12:02:12 UTC 2025","85","tests","test_api","","","","test_delete",""
"passed","Sun Apr 20 12:02:12 UTC 2025","Sun Apr 20 12:02:12 UTC 2025","96","tests","test_api","","","","test_patch",""
"passed","Sun Apr 20 12:02:11 UTC 2025","Sun Apr 20 12:02:12 UTC 2025","92","tests","test_api","","","","test_put",""
